uid,whisper_transcripts,gt_transcripts
LJ018-0298," Time was clearly an important factor in the fraud. Hence, the bills were sent forward in quick succession.","time was clearly an important factor in the fraud, hence the bills were sent forward in quick succession.
"
LJ044-0026," Marina Oswald said she signed that name, apparently chosen because it rhymed with Fidel.","marina oswald said she signed that name, apparently chosen because it rhymed with ""fidel,""
"
LJ002-0294," A further fee was, however, demanded from the new, so that before he was made free of either the masters or the cabin side.","a further fee was, however, demanded from the new-comer before he was made free of either the master's or the cabin side.
"
LJ029-0018," Vice President Johnson and Governor Connolly on June fifth, nineteen sixty three at the Cortez Hotel in El Paso, Texas.","vice president johnson, and governor connally on june fifth, nineteen sixty-three, at the cortez hotel in el paso, texas.
"
LJ017-0084," It was there that Cook was first taken ill with violent wretchings and vomiting, all dating from visits of Palmer who brought him medicines and food.","it was there that cook was first taken ill with violent retchings and vomitings, all dating from visits of palmer, who brought him medicines and food.
"
LJ015-0103," Mr. Fassin, more and more ill at ease, would not accept this subterfuge, and declared they must be found.","mister fasson, more and more ill at ease, would not accept this subterfuge, and declared they must be found.
"
LJ003-0302, The work being constant and suitable with certain hours of relaxation and for food and exercise.,"the work being constant and suitable, with certain hours of relaxation and for food and exercise.
"
LJ026-0013, Parker's definition of animals and plants.,"parker's definition of animals and plants,
"
LJ037-0137," he was then shown two photographs of Oswald, and he advised that Oswald was, quote, unquestionably, end quote, the man he saw.","he was then shown two photographs of oswald and he advised that oswald was, quote, unquestionably, end quote, the man he saw.
"
LJ045-0166," He repeated this not once, but several times, but I refused. And he said that once again I was preferring my friends to him, and that I didn't need him.","he repeated this not once but several times, but i refused. and he said that once again i was preferring my friends to him, and that i didn't need him.
"
LJ005-0166," Mr. Peel, who, as home secretary, had charge of the bill,","mister peel, who as home secretary had charge of the bill,
"
LJ017-0163," either arsenic or antimony, or both in small quantities.","either arsenic or antimony, or both, in small quantities,
"
LJ019-0295, A single officer was the only custodian and disciplinary authority in the jail.,"a single officer was the only custodian and disciplinary authority in the jail.
"
LJ038-0239, indicated that the bullet was fired from a position near the point where one of the photographs was taken.,"indicated that the bullet was fired from a position near the point where one of the photographs was taken.
"
LJ027-0080," two toes, sheep, four toes, hauled, and five toes.","two toes (sheep), four toes (hog) and five toes (dog)
"
LJ014-0265," And later, he became manager of the newly rebuilt Olympic at Witch Street.","and later he became manager of the newly rebuilt olympic at wych street.
"
LJ003-0247," or the faithful discharge of some petty office, such as Gates, the Orc Captain of Award.","or the faithful discharge of some petty office, such as gatesman or captain of a ward.
"
LJ047-0013," Finally, the commission has reviewed the complete files on Oswald as they existed at the time of the assassination of the Department of State","finally, the commission has reviewed the complete files on oswald, as they existed at the time of the assassination, of the department of state,
"
LJ002-0168," The land in question was found in Cold Bath Fields Prison, to which he had been sent for a month in default of paying a fine of forty shillings.","the lad in question was found in coldbath fields prison, to which he had been sent for a month in default of paying a fine of forty shillings.
"
LJ042-0216," They stand up and piously pronounce themselves patriots, displaying their war medals, that they gained in conflicts long past between themselves.","they stand up and piously pronounce themselves patriots, displaying their war medals that they gained in conflicts long past between themselves.
"
LJ004-0156, Children hardly old enough to be released from the nursery.,"children hardly old enough to be released from the nursery.
"
LJ041-0084," fitted into a general personality pattern of his to do whatever was not wanted of him, a recalcitrant trend in his personality.""","fitted into a general personality pattern of his: to do whatever was not wanted of him, a recalcitrant trend in his personality, end quote,
"
LJ022-0151, did more than anything else to bring about the recent collapse of industries.,"did more than anything else to bring about the recent collapse of industries.
"
LJ006-0076," he blamed the construction of Newgate for the neglect of classification, and was yet compelled to confess that he had made no attempt whatever to carry it out.","he blamed the construction of newgate for the neglect of classification, and was yet compelled to confess that he had made no attempt whatever to carry it out.
"
LJ015-0171," But, finding he could not escape, he said he would resign his post and leaving the boardroom disappeared.","but finding he could not escape, he said he would resign his post, and leaving the boardroom, disappeared.
"
LJ037-0080," Barbara Jeanette Davis assumed that he was emptying his gun as, quote, he had it open and was shaking it, end quote. She immediately called the police.","barbara jeanette davis assumed that he was emptying his gun as, quote, he had it open and was shaking it, end quote. she immediately called the police.
"
LJ002-0260," Yet, the public opinion of the whole body seems to have checked dissipation.","yet the public opinion of the whole body seems to have checked dissipation.
"
LJ048-0080, to coordinate activities and to discuss problems of mutual interest.,"to coordinate activities and to discuss problems of mutual interest.
"
LJ006-0149, The term keys left the prisoners very much to themselves. Never entering the wards after locking up time at dusk till unlocking next morning.,"the turnkeys left the prisoners very much to themselves, never entering the wards after locking-up time, at dusk, till unlocking next morning,
"
LJ025-0109," has been as completely invalidated as the third and second, and even the first can be retained only in a modified form.","has been as completely invalidated as the third and second, and even the first can be retained only in a modified form
"
LJ010-0279," I shall mention briefly one more case, in which, however, there was no murderous intent before I pass on to other crimes.","i shall mention briefly one more case, in which, however, there was no murderous intent, before i pass on to other crimes.
"
LJ018-0158," I am the man that has got all the bank paper. I have thirty thousand pounds now, and the Bank of England cannot stop it.","i am the man that has got all the bank paper; i have thirty thousand pounds now, and the bank of england cannot stop it.
"
LJ037-0096," Several days later, he reported what he had seen and was questioned by FBI agents.","several days later he reported what he had seen and was questioned by fbi agents.
"
LJ042-0251, He also inquired about visas for himself and his wife.,"he also inquired about visas for himself and his wife
"
LJ043-0115," He lost his job on July, nineteen sixty-three because his work was not satisfactory.","he lost his job on july nineteen, nineteen sixty-three, because his work was not satisfactory
"
LJ043-0181, that such concern is an important factor to consider in assessing possible motivation for the assassination.,"that such concern is an important factor to consider in assessing possible motivation for the assassination.
"
LJ013-0064," Barber, it was said, became aware of this.","barber, it was said, became aware of this,
"
LJ029-0164," Also on November, the morning news reported that the president's motorcade would travel from love field along specified streets, then","also on november nineteen, the morning news reported that the president's motorcade would travel from love field along specified streets, then
"
LJ005-0148," In some prisons, the prisoners worked seven hours a day. In others, ten and a half.","in some prisons the prisoners worked seven hours a day, in others ten and ten and a half.
"
LJ047-0107," And when I got to questioning him further, then he felt that his purpose had been served, and he wouldn't say anything further.""","and when i got to questioning him further then he felt that his purpose had been served and he wouldn't say anything further, end quote.
"
LJ002-0304," The sheriff demanded four shillings, six pence for his liberate. The jailer, six shillings, ten pence more, and the turnkey, two shillings.","the sheriff demanded four shillings, six pence for his liberate, the jailer six shillings, ten pence more, and the turnkey two shillings;
"
LJ018-0253," For these crimes William Ruppell was tried at the Central Criminal Court on the twenty-fourth September, eighteen sixty two.","for these crimes william roupell was tried at the central criminal court on the twenty-fourth september, eighteen sixty-two.
"
LJ006-0120, by drawing briefs and petitions for his fellows. There was a recognized charge of five shillings per brief.,"by drawing briefs and petitions for his fellows. there was a recognized charge of five shillings per brief,
"
LJ015-0200, only when single and unprotected were they in any danger of attack and that but rarely.,"only when single and unprotected were they in any danger of attack, and that but rarely.
"
LJ039-0141, He again went hunting with his brother Robert and used a borrowed twenty-two caliber bolt action rifle.,"he again went hunting with his brother, robert, and used a borrowed twenty-two caliber bolt-action rifle.
"
LJ026-0050," Following in part, the comparisons of certain animals and plants by Sedgwick and Wilson and others.","following in part the comparisons of certain animals and plants by sedgwick and wilson and others.
"
LJ023-0116," In our courts, we want a government of laws and not of men.","in our courts we want a government of laws and not of men.
"
LJ030-0145," showed the numerals, twelve, thirteen. As the vice presidential automobile proceeded north on Houston Street, a few seconds before the shots were fired.","showed the numerals twelve:thirty as the vice-presidential automobile proceeded north on houston street, a few seconds before the shots were fired.
"
LJ031-0065," as a result of the infusion of liquids through the cup dows, the cardiac massage and the airway.","as a result of the infusion of liquids through the cutdowns, the cardiac massage, and the airway,
"
LJ011-0090," But next morning, he was found dead in his cell.","but next morning he was found dead in his cell.
"
LJ006-0051, and for offenses of the most varying description by the Central Criminal Court.,"and for offenses of the most varying description, by the central criminal court.
"
LJ006-0049," an occasional prisoner or two committed by the House's Apartment, the Courts of King's Bench. Common please.","an occasional prisoner or two committed by the houses of parliament, the courts of king's bench, common pleas,
"
LJ032-0186," when it was transported from New Orleans and November twenty-two, the day of the assassination.","when it was transported from new orleans, and november twenty-two, the day of the assassination.
"
LJ010-0217," Soon after he was introduced, we were alarmed by a violent knocking at the door.","soon after he was introduced we were alarmed by a violent knocking at the door;
"
LJ049-0177," and Robert I. BOOK, who was in charge of the protective research section of the Secret Service believed that the accumulation of the facts known to the","and robert i. bouck, who was in charge of the protective research section of the secret service, believed that the accumulation of the facts known to the fbi
"
LJ040-0221, Kara was the only one of Oswald's three principal observers who recommended that he be placed in a boy's home or similar institution.,"carro was the only one of oswald's three principal observers who recommended that he be placed in a boy's home or similar institution.
"
LJ040-0022, indications of our world's motivation.,"indications of oswald's motivation
"
LJ047-0122, Our interest in this man at this point was to determine whether his activities constituted a threat to the internal security of the country.,"our interest in this man at this point was to determine whether his activities constituted a threat to the internal security of the country.
"
LJ015-0074," His immediate chief was a Mr. Fassam. Upon whose confidence he gained so rapidly through his activity, industry, and engaging manners,","his immediate chief was a mister fasson, upon whose confidence he gained so rapidly, through his activity, industry, and engaging manners,
"
LJ019-0216," Eventually, Holloway was decided upon as a site for the new city prison.","eventually holloway was decided upon as a site for the new city prison.
"
LJ029-0041, who was the Secret Service official responsible for the entire Texas journey.,"who was the secret service official responsible for the entire texas journey.
"
LJ038-0213, The last paragraph directed her to the jail.,"the last paragraph directed her to the jail
"
LJ011-0005, A lady in the country who had thirteen thousand pounds in the stocks desired her London agent to sell them out.,"a lady in the country, who had thirteen thousand pounds in the stocks, desired her london agent to sell them out.
"
LJ035-0095, that Oswald descended by stairway from the sixth floor to the second floor lunchroom.,"that oswald descended by stairway from the sixth floor to the second-floor lunchroom
"
LJ041-0106," at the court-martial hearing which followed, Oswald admitted that he had been rather drunk when the incident occurred.","at the court-martial hearing which followed, oswald admitted that he had been rather drunk when the incident occurred.
"
LJ009-0166," Next, the offenses of returning from transportation, stealing post office letters and sacrilege were no longer punishable with death.","next, the offenses of returning from transportation, stealing post-office letters, and sacrilege were no longer punishable with death.
"
LJ009-0283," This time, Calcraft adding his weight to the body and the strangulation was completed.","this time calcraft adding his weight to the body, and the strangulation was completed.
"
LJ019-0089," Sometimes it embraced the trite wheel, or the newly invented instruments known as cranks, which ground air.","sometimes it embraced the tread-wheel or the newly-invented instruments known as cranks, which ground air.
"
LJ004-0109, according to their categories or crimes.,"according to their categories or crimes.
"
LJ018-0143," each containing two notes, many of the sheets suitable for engraving any kind of note from one thousand pounds downwards.","each containing two notes, many of the sheets suitable for engraving any kind of note from one thousand pounds downwards.
"
LJ018-0366," Although Sentence of Death was passed on Edmonds, it was commuted to Penal's servitude for life.","although sentence of death was passed on edmunds, it was commuted to penal servitude for life;
"
LJ011-0156," While on a visit to Mackelsfield, he heard by chance of misturner and that she would inherit all her father's possessions.","while on a visit to macclesfield he heard by chance of miss turner, and that she would inherit all her father's possessions.
"
LJ011-0033, steaming him the last person capable of a dishonorable action.,"deeming him the last person capable of a dishonorable action.
"
LJ022-0011," When one of these ships is under construction and the steel frames have been set in the keel,","when one of these ships is under construction and the steel frames have been set in the keel,
"
LJ048-0021, question. This is the quickly interview you were talking about.,"question: this is the quigley interview you are talking about?
"
LJ007-0016," It tended to dissipate reflection, diminish the gloom of the prison, and mitigate the punishment which the law has sentenced the prisoner to undergo.","it tended to ""dissipate reflection, diminish the gloom of the prison, and mitigate the punishment which the law has sentenced the prisoner to undergo.""
"
LJ036-0118, when he first testified before the commission.,"when he first testified before the commission,
"
LJ039-0044," Mr. Johnson was the then vice president and his visit took place on April, twenty-third.","mister johnson was the then vice president and his visit took place on april twenty-third.
"
LJ019-0033," Some jurisdictions, greatly to their credit, strove at once to follow the lead of the central authority.","some jurisdictions, greatly to their credit, strove at once to follow the lead of the central authority.
"
LJ011-0165, who had plausibly explained that he had only recently been engaged.,"who had plausibly explained that he had only recently been engaged at shrigley.
"
LJ003-0297, it admitted the paramount necessity.,"it admitted the paramount necessity
"
LJ011-0132, except the forgery of wills and powers of attorney.,"except the forgery of wills and powers of attorney.
"
LJ004-0041," with advantage, step in and by the collection and diffusion of information and the re-iteration of sound advice greatly assist the good work.","with advantage step in, and by the collection and diffusion of information, and the reiteration of sound advice, greatly assist the good work.
"
LJ014-0140," After judgment was passed, she repeatedly cried out, shame.","after judgment was passed she repeatedly cried out shame!
"
LJ013-0047," A clergyman nearly a century later, followed in the steps of Dr. Dodd, but did not under more humane laws lose his life.","a clergyman nearly a century later followed in the steps of doctor dodd, but did not under more humane laws lose his life.
"
LJ009-0296, It was not always easy to hire a hangman.,"it was not always easy to hire a hangman.
"
LJ013-0233," The bed was searched, but no piece of sharpened wood was found. It was thought that it might have been lost in changing the mattresses.","the bed was searched, but no piece of sharpened wood was found. it was thought that it might have been lost in changing the mattresses.
"
LJ002-0163, A market porter was arrested and committed at the suit of a publican.,"a market porter, was arrested and committed at the suit of a publican
"
LJ016-0357," No time was lost in carrying out the dread ceremony, but it was not completed without some of the officials turning sick, and the moment it was over,","no time was lost in carrying out the dread ceremony; but it was not completed without some of the officials turning sick, and the moment it was over,
"
LJ004-0153," In eighteen-eighteen, the old jail was so densely packed that it was nearly impossible to pass through the yards for the throng.","in eighteen eighteen the old jail was so densely packed that it was nearly impossible to pass through the yards for the throng.
"
LJ050-0097, even with the advantage of hindsight. This letter does not appear to express or imply Oswald's quote,"even with the advantage of hindsight, this letter does not appear to express or imply oswald's, quote,
"
LJ042-0161," Immediately after serving out his three years in the US Marine Corps, he abandoned his American life to seek a new life in the United States.","immediately after serving out his three years in the u.s. marine corps, he abandoned his american life to seek a new life in the ussr.
"
LJ039-0040," When asked later whether it might have been Mr. Johnson, she said, quote, yes, no.","when asked later whether it might have been mister johnson, she said, quote, yes, no.
"
LJ050-0149, must develop the capacity to classify its subjects on a more sophisticated basis than the present geographic breakdown.,"prs must develop the capacity to classify its subjects on a more sophisticated basis than the present geographic breakdown.
"
LJ050-0056," On December, twenty-six, nineteen sixty-three, the FBI circulated additional instructions to all its agents.","on december twenty-six, nineteen sixty-three, the fbi circulated additional instructions to all its agents,
"
LJ015-0141, from which he rose to be assistant registrar with the special duties of transferring shares.,"from which he rose to be assistant registrar, with the special duties of transferring shares.
"
LJ025-0169, The bean has been able to perform this great chemical feat by the help of its green coloring matter or chlorophyll.,"the bean has been able to perform this great chemical feat by the help of its green coloring matter, or chlorophyll,
"
LJ022-0129," in making this the most efficient, and the cleanest example public enterprise the world has ever seen.","in making this the most efficient and the cleanest example of public enterprise the world has ever seen.
"
LJ023-0141," can if they choose, hold office for life, no matter how old they may get to be.","can, if they choose, hold office for life, no matter how old they may get to be.
"
LJ017-0234, verified the murderers and then shut himself up in his cabin.,"verified the murderers, and then shut himself up in his cabin.
"
LJ026-0121," The destruction of protoplasm, excess proteins or the fat and carbohydrates foods is catalyzed in destructive metabolism.","the destruction of protoplasm, excess proteids or the fat and carbohydrate foods is catabolism, destructive metabolism.
"
LJ032-0234," The rifle was shipped from Clines in Chicago on March, twenty nineteen sixty three at a time when the Osmolds were living on Neely Street.","the rifle was shipped from klein's in chicago on march twenty, nineteen sixty-three, at a time when the oswalds were living on neely street.
"
LJ045-0250, They're emerged a man capable of assassinating President Kennedy.,"there emerged a man capable of assassinating president kennedy.
"
LJ026-0166," back to starch, usable as food, and the comparison of the green plant and the animal would be complete.","back to starch usable as food and the comparison of the green plant and the animal would be complete.
"
LJ031-0218," The second head wound measured approximately five inches, thirteen centimeters in its greatest diameter.","the second head wound measured approximately five inches (thirteen centimeters) in its greatest diameter,
"
LJ005-0144," Yet, to clerk and well, we're now committed to juveniles and all who were inexperienced in crime.","yet to clerkenwell were now committed the juveniles, and all who were inexperienced in crime.
"
LJ014-0196," by his identification by cope in Westminster Hospital, who survived long enough to make a formal deposition before Mr. Jardin.","by his identification by cope in westminster hospital, who survived long enough to make a formal deposition before mister jardine,
"
LJ017-0086," for this purpose he gave, or there was the strongest presumption that he gave.","for this purpose he gave, or there was the strongest presumption that he gave,
"
LJ013-0145," Care came at once to London, and by the help of the landlord of a public house in Smithfield and others, disposed of the whole of the diamonds.","ker came at once to london, and, by the help of the landlord of a public-house in smithfield and others, disposed of the whole of the diamonds.
"
LJ014-0227," One of these was mobs, who lived in the minaries.","one of these was mobbs, who lived in the minories,
"
LJ021-0020," and transportation and trade, so great in the mass that each individual concerned in them is quite helpless by himself.","and transportation and trade, so great in the mass that each individual concerned in them is quite helpless by himself.
"
LJ013-0158," One morning in May, his lordship was found dead in his bed with his throat cut.","one morning in may his lordship was found dead in his bed with his throat cut.
"
LJ014-0225, A handsome sum was subscribed for the injured constable who was disabled for life.,"a handsome sum was subscribed for the injured constable, who was disabled for life.
"
LJ032-0047," According to the Vice President of Climes, William Waldman.","according to the vice president of klein's, william waldman,
"
LJ032-0051," On that date, clients placed an internal control number, VC-A-T-R-S-Ix on this rifle.","on that date, klein's placed an internal control number v c eight three six on this rifle.
"
LJ019-0155, The enforcement of discipline depended upon the want of honor among thieves.,"the enforcement of discipline depended upon the want of honor among thieves.
"
LJ020-0105, weave the little duties in and under and among what seem to be the greater.,"weave the little duties in and under and among what seem to be the greater.
"
LJ009-0104," The women set up a yell, which is mixed with a rustling noise, occasioned by the removal of those whose hysterics have ended in fainting.","the women set up a yell, which is mixed with a rustling noise, occasioned by the removal of those whose hysterics have ended in fainting.
"
LJ004-0149," The diet was limited to dry bread, which was of the best certainly and a pound and a half in weight.","the diet was limited to dry bread, which was of the best certainly, and a pound and a half in weight.
"
LJ018-0103," and silver coins, with all the latest appliances for coining, including those of","and silver coins, with all the latest appliances for coining, including those of electroplating;
"
LJ001-0017," that the forms of printed letters should follow more or less closely those of the written character, and they followed them very closely.","that the forms of printed letters should follow more or less closely those of the written character, and they followed them very closely.
"
LJ042-0143," During the period from November, nineteen sixty two to March of nineteen sixty three.","during the period from november nineteen, nineteen sixty-two to march of nineteen sixty-three.
"
LJ031-0204," with three Secret Service agents, accompanied President Kennedy's body on the forty-five minute automobile trip from Andrew's Air Force Base to the hospital.","with three secret service agents, accompanied president kennedy's body on the forty-five-minute automobile trip from andrews air force base to the hospital.
"
LJ028-0017," but soon the Phantom Lake vanishes, while others still farther beyond appear and vanish in rapid succession.","but soon the phantom lake vanishes, while others, still farther beyond, appear and vanish in rapid succession.
"
LJ017-0242," Leon wished to make everyone on board, share, and share alike, so as to implicate the innocent with the guilty.","leon wished to make every one on board share and share alike, so as to implicate the innocent with the guilty;
"
LJ033-0099," Frazier walked behind, and as they crossed the railroad tracks, he watched the switching of the cars.","frazier walked behind and as they crossed the railroad tracks he watched the switching of the cars.
"
LJ005-0133," The provision of separate sleeping cells was still quite inadequate. For instance,","the provision of separate sleeping cells was still quite inadequate. for instance,
"
LJ005-0160," It was plain that although the law had defined general principles of prison government,","it was plain that although the law had defined general principles of prison government,
"
LJ004-0032," the Honest of Improvement lay upon the Magistracy, the local authorities administering local funds.","the onus of improvement lay upon the magistracy, the local authorities administering local funds,
"
LJ047-0210," I think all of those, if we had them all together.","i think all of those, if we had them all together,
"
LJ027-0162," The fish retains permanently this form, but the frog passes on.","the fish retains permanently this form, but the frog passes on.
"
LJ023-0112, We have there four.,"we have, therefore,
"
LJ037-0218, Marina Oswald testified that this was the holster which contained the revolver in the photographs taken on Neely Street.,"marina oswald testified that this was the holster which contained the revolver in the photographs taken on neely street.
"
LJ046-0002," the President's Commission on the assassination of President Kennedy. Chapter eight, the protection of the President, part one.","the president's commission on the assassination of president kennedy. chapter eight. the protection of the president. part one.
"
LJ017-0175, The circumstances were strange. Mrs. Wilson had gone to the chemists for medicine.,"the circumstances were strange. misess wilson had gone to the chemist's for medicine,
"
LJ019-0183," provided it was henceforth used only for untried prisoners, suggested that Newgate should be entirely reconstructed, and the new building adopted as a model.","provided it was henceforth used only for untried prisoners, suggested that newgate should be entirely reconstructed, and the new building adopted as a model.
"
LJ035-0160," Reconstructing her movements, Mrs. Reed ran the distance three times and was timed in two minutes by stopwatch.","reconstructing her movements, misess reid ran the distance three times and was timed in two minutes by stopwatch.
"
LJ047-0089, Inasmuch is the facts relating to Oswald's activities at that time did not warrant such action.,"inasmuch as the facts relating to oswald's activities at that time did not warrant such action.
"
LJ005-0250," The prisoners were crowded together in the jail, contrary to the requirements of the four George IV.","the prisoners were crowded together in the jail, contrary to the requirements of the four george the fourth
"
LJ030-0175," The governor started to look back over his left shoulder, but he never completed the turn because he felt something strike him in the back.","the governor started to look back over his left shoulder, but he never completed the turn because he felt something strike him in the back.
"
LJ046-0228, The Secret Service had no standard procedure for the systematic review of its requests for and receipt of information from other federal agencies.,"the secret service had no standard procedure for the systematic review of its requests for and receipt of information from other federal agencies.
"
LJ039-0146," Marina Oswald testified that in New Orleans in May of nineteen sixty three, she observed Oswald sitting with the rifle on their screened porch at night.","marina oswald testified that in new orleans in may of nineteen sixty-three, she observed oswald sitting with the rifle on their screened porch at night,
"
LJ016-0398, as a special favor.,"as a special favor
"
LJ009-0141," Lord Paget, Lord Bruce, several members of the House of Commons and a few ladies.","lord paget, lord bruce, several members of the house of commons, and a few ladies.
"
LJ022-0165, both in its public relations and in its internal relations.,"both in its public relations and in its internal relations.
"
LJ033-0144," At the time the bag was found, Lieutenant Day of the Dallas Police wrote on it, quote, found next to the sixth floor window, gun fired from.","at the time the bag was found, lieutenant day of the dallas police wrote on it, quote, found next to the sixth floor window gun fired from.
"
LJ031-0094, and you have to establish adequate circulation.,"and you have to establish adequate circulation.
"
LJ019-0395," at others, an expensive staff was maintained with little or nothing to do.","at others an expensive staff was maintained with little or nothing to do.
"
LJ025-0151, and it must be allowed to be possible that further research may reveal the existence of something comparable to a nervous system in plants.,"and it must be allowed to be possible that further research may reveal the existence of something comparable to a nervous system in plants.
"
LJ004-0164," There was still worse to come. Having explored the yards and adjacent day rooms and sleeping cells, a door was unlocked.","there was still worse to come. having explored the yards and adjacent day rooms, and sleeping cells, a door was unlocked,
"
LJ028-0293," Zopyrus answered, there is not a man in the world but thou, O King, that could reduce me to such a plight.","zopyrus answered, ""there is not a man in the world, but thou, o king, that could reduce me to such a plight
"
LJ016-0266, No notion that they were assisting at a vindication of the law filled the minds of those present with dread.,"no notion that they were assisting at a vindication of the law filled the minds of those present with dread.
"
LJ044-0148, very unhappy and that he actually wept when he told her that.,"very unhappy, and that he actually wept when he told her that.
"
LJ004-0171," was by a kind of chimney, which the prisoners kept hermetically sealed, and which had never been opened in the memory of the turnkey.","was by a kind of chimney, which the prisoners kept hermetically sealed, and which had never been opened in the memory of the turnkey.
"
