uid,whisper_transcripts,gt_transcripts
9e5b35ac-0734-4fb6-ae12-d6b1626be48b, Hum relax," two ten 
"
b2aac796-9a10-4659-8095-8ecea391cbdd, let's turn this over a little.," challenge 
"
3ca02232-0d75-42b9-a005-7bdcca8b8615, thousand dollars common," okay 
"
0bacecf1-931b-422e-949e-ba5902ca407e, doodle monaste.," the monster 
"
8557f866-47dc-46f9-bca3-799a93699891, Y'all want a nine? Three tenths?," one nine three tens 
"
5447ee98-5576-446c-b2a4-37a8ac8e06ca, We're calling it B.S.," but yeah we're calling it bs 
"
b989be1f-94fe-4747-a879-4f0650a96239, You want a blip?," you want blue 
"
069316f2-2998-42d3-a790-1450dffd2421, You know what?," you know what 
"
27af2169-b22c-4ba0-af54-ab1e8f0de85e," No, that's not what it says."," no that's not what they say it is 
"
8fa4423a-667c-4603-88d1-47780aa95660, Miles you're in these gentlemen's way," miles you're in these gentlemen's way 
"
6c2e7feb-6fd2-4dba-ae04-d1dee583d804, Ha!," huh 
"
2d820e86-d581-4aca-81c0-038289f2bec8, I'll take all the clubs.," i'll take all the clubs 
"
d7c942a6-bfd3-4ff2-9926-88fafe78781b, Damn!," damn 
"
b6de9e9e-ddd9-4c5d-aacf-2c37cdc3dfa5," This is also a good competition exercise. Just separate your different suits. And then we will, suits can just have on individual level."," this is also good of seven diamonds wings just separate your different suits and then we'll will soon scan them individually 
"
8ac21f20-c73a-4bba-9edd-bc71554b996b," Three-fours, fuck it!"," three fours fuck it 
"
f475f107-c25d-45b3-b26c-a5787fbc3ce3, two aces.," two aces 
"
bf9e5349-3326-4596-8c47-c65e5f4a24b2,Softly for electricity and temperature for increased Access.," see hopefully i would have challenged that 
"
743a11a6-2db0-4408-8d66-927ad40bc388, Kinda bothered me.," kind of bothers me 
"
6f1a5650-1ada-41ff-830e-5164f5d3c629, Let me separate it for a number of times again. What can I do?," separate 
"
73e137ad-dfea-4f13-b4e6-88fcf8a57039, tworated," two aces 
"
4e02a38a-d438-41fb-9126-75e89e857881, trying to make it through. You'll have to do this again.," trying to make it so you don't have to do this again 
"
499ec1a6-b2fe-4b6f-a146-8b3fcb66d6ae, One more.," one more 
"
91179bdb-de0e-4f77-affd-5289fb4125bb, What? Call the bullshit!," call the bullshit 
"
2fbff7cf-77ac-4ae3-90ad-2af3466dfcab," You know, like, oh, we're like that."," you know like oh we like the 
"
c3854b9c-21e7-41ae-bda7-d0b995e4fac8," Now y'all call the yes-amis, so I don't know what y'all tell me. You don't go..."," none of y 'all called bs on me so i don't know what y 'all talking about 
"
ced7225f-c730-475f-a7ec-fe7f2654fcf7, Wishcose.," which case 
"
b9e4e03d-19dd-4594-83d0-fbaa98dd2442, I want him to call a bullshit!," i wanted him to call bullshit 
"
3222e77b-da8a-4cd9-a666-59395cf40636, I don't know.," ha 
"
1cd761ce-d8b5-4f09-b079-eff82651e0fe, This is the center.," it's her turn 
"
16e3a73a-4ca9-4dd7-80cc-c00400c563b0, What the fuck are you saying?," fucking playing mahjong 
"
1c2c975b-d276-41f3-bb2c-0f09fe0ad12a, Mm.," hmm 
"
8834d6e4-bc06-4530-aa16-82049cfa3510, I don't know if that will win a surprise.," one point 
"
f6204b5e-7846-4772-b6da-7a09df154d70, Huh?," huh 
"
25e7fdd6-afd8-4b5e-8571-dfb140e2dc67, Why was I with people more shitty?," why 
"
302ddb10-0529-4e1d-914d-73bacc3a867b, Okay.," okay 
"
7ec48c15-877f-4915-91fa-0a9009c3d29f, Good. Good. Call it if you want.," go ahead go ahead hmm 
"
cc8c1624-2349-4ce4-bea1-ae780337869a," And if you pass and fewer pours, like even you have longer answer to your thoughts are"," do you get and if you pass and if you pass like pass 
"
aff429a5-4571-446f-acf3-f3c7c0cb352d, three more.," three more 
"
6e529db3-a2fb-4d4b-b0a5-9a42fc205359," Yeah, if it is happy those years Merry Christmas"," if it is happy new years merry christmas 
"
2347efe1-0edd-4cb8-b7dc-b2ed3844a2ae, Bullshit.," bullshit 
"
a18ec653-d193-4ab3-9471-d25065a71c78, She's out of cards.," she's out of card 
"
f5886002-1677-483c-8443-43175eefc142, Just stop saying it!," then stop saying it 
"
0093b552-1009-4360-999c-8a561d23d727, One more.," one more 
"
ffc18049-61f4-4925-a87a-7de468a3c1f8, I hope this thing is recording.," i hope this thing is recording 
"
c8c83e48-7219-4c74-bcc5-c62fbe000128," One, two."," one ten 
"
a1780525-564b-4800-91a1-b3e4e0cb7257, How many?," how many 
"
4147fe84-3967-480e-a679-2a4488c05f51," I already have too many cards, I can barely. And I can barely..."," i i already have too many cards i'm barely and i can barely 
"
081c0b6c-e0a7-43ab-a9a7-2c68a079d4d9, Hmm.," yeah 
"
76b376f5-5213-4907-a9e0-a63430bfb0e2, I think I should Presley on NOP F OUT," one eight 
"
4ae65aa9-8e4a-4cc5-8336-0c41f73b63b5, Alright. Alright.," alright i'll take it alright 
"
c4bb2f35-ece7-40c1-ab4e-aae90df4bc42," I don't think you can make it that far to them anyway, so thank you for all this. Oh my god, I stand corrected. He found them and it's in a water pond over there."," i don't think you can make it that far to them anyway so i think we got this oh my god i stand corrected he found them and it's in a water pond over there 
"
34bfdea2-1e2e-4a09-b594-c43ae3d76d6d," Yep, you have one, one, yep."," yep you have one one yep 
"
8f760058-8835-42f6-b065-5fe2fdd5e5db," Yes, you go first."," yes you go first 
"
ab885309-8756-4b3f-a9da-e33a948aa6b5, One is? Bullshit. Pick that up. Bullshit!," one ace bullshit pick that up bullshit pick that up 
"
47df8c33-3a85-45fc-9b30-3ac4bb57ddf0, You wanna see this?," you wanna see this 
"
55861c04-c1a8-4cbc-97aa-3552af89d3f5, I have motor functioning skills.," i have no other functioning skills 
"
ac517c03-dd79-443e-8a08-3c8e6f9d1231," Alright, we're recording."," alright boy you gon call that 
"
551ae0b1-0372-4ce8-bf61-ca29dd109806, I'm not going to put it in here.," i'm coming up with solutions 
"
84de8661-5837-4d71-859a-5ce5413b0554, Come on out.," come around 
"
2982734a-362e-412e-9580-8f8f9aee1391, and the goal is to finish all the cards in your hand.," and um the goal is to finish all the cards in your hands 
"
44813e74-bbe5-4241-af5a-858c908adddd, Sub-de-kirak has been a new video last time.," last time 
"
e035bba1-f5a1-4876-92ac-84e5ba879878," Yeah, uh-huh."," uh yeah uh-huh 
"
0340f88b-9ac9-4520-ba40-ad7de3c7a8cf," Yeah, oh yeah. Oh, yeah, that's me."," yeah oh yeah oh yeah best believe 
"
913197d3-9103-4c2b-83b4-df44b1db6885, Yeah.," yeah 
"
8ae8e159-2682-477e-b8ce-d4f52b9d80f0, hello," no 
"
3370d4aa-9c2e-4b85-b665-b4c88fbef44e," Yeah, we got plans."," yeah we got plans 
"
86b4ab70-c093-4fe7-8136-0d7678144300," It's not rusty on this black pipe, it's rusty on the next thing."," it's not resting on this black pipeit's resting on this thing 
"
3c2ef4d0-0de6-4c97-a66c-34fecfba0491, Wwhat dog?," one five
"
0fe1985e-c7b1-474b-8282-3115103bf6ee," Bullshit, I want these cards."," bullshit i want these cards 
"
aece9f44-deb1-4a3c-a348-97dfb592fa11, allejrem," one jack 
"
16d28297-690a-4266-a6a6-6a17f9d9ea15, Fuck endorse!," oh you're not gon call you're not gon call bs 
"
7e6ac302-871c-4b8c-873f-5fc0a8ba7d2e, He said no.," cos i knew 
"
d260b1ce-efbc-4d9c-8aea-6e835e8fd96c," Yeah, he missed the bullshit. I'm about to call it."," bullshit call it 
"
395b8935-0c70-485e-b025-e25386ebf99a, look at my cards right now.," ah oh that's funny as hell 
"
63436579-4da7-401c-baad-9685cfdf466c, I'm a car BS on that.," call bs on that 
"
117e4aba-59fd-4a91-9d25-c2739eb8fa7e, Oh wonderful view.," oh wonderful view 
"
4f4e90ac-c320-4d97-857b-ef99f410a7ad, or like in real life.," watch out everybody 
"
d2fe1ccb-e088-4086-9872-8353344f0c4d, Don't forget to do it for me.," do it for me pass 
"
dcee6539-720d-4bea-83d5-382df320a084, No!," yeah 
"
37547932-54fa-4d03-8ceb-35cfba38ded1," If you want to get it done today, then we're not doing the biscuit sweater."," if you want to get it done today then we're not doing the biscuit 
"
df1a0e9a-bf3e-40b6-a70a-8125992f1ff2, Take two of these fours with you. Call it if you want. Call it! Call it!," take two of these fours with you call it if you want call it call it 
"
0944e8c8-2330-4e59-b137-246a930ba281," I can't text him, I don't remember. No, he wants us to play that game."," um i can't text him i don't have number mm no who wants us to play that game 
"
62232538-5f11-413a-a0aa-f4ab9744c951, I'm not that...," i'm not an 
"
2bff53a0-12c5-40c0-b612-11766ce6e4df, Got any more gadgets for me?," gadgets for you you gat any more gadgets for me 
"
6aed05cd-816c-4542-b128-1f205d6f22cd, We call it Bluff in India.," we call it bluff in india 
"
e8c3350d-ec32-4c97-af0a-4a47a156b417, We can take out from us.," we can take off our masks 
"
82155f18-2b6b-4601-92ef-cf4da5fdfe77," Please! No, I'm not even- You got it, you got it, come on! Come on! No, you got it, Chief! If I can call your guys!"," please by all means by all means if i can call your cards 
"
33a34db5-cf4c-4f68-b980-ba028a0fd7c8," queens. Just separate your different suits. And then we will, those suits can just happen individual layling."," queens just separate your different suits okay and then we'll 
"
38d06597-7c72-4edc-815b-c119f0692524," Oh wow, they're big just like the video game."," oh wow they're big just like the the video games 
"
0388581b-215c-4031-925d-1c242c432c3d, Well the game is called VS.," i think that's obvious 
"
ca7dc40f-cf7f-408c-b065-10930dd91524," Maybe more cobblows, so don't that what you're right."," i really wanna call bullshit on that but you're right 
"
455cf6cb-c99e-4f54-b5fb-396a22e6263f, Are they still fine?," are they still fine 
"
863db457-049f-4578-a771-527fae5ed5b7," For aces. For twos. You're not going to go bose it this time? You know what, I really don't want to."," four twos you're not gonna call bullshit this time 
"
ffc09302-1833-46b3-a42b-0e4a8c52906f, Go call it.," call it 
"
27ceed02-475a-45b3-ba63-94c9c5b4be49, One ten.," one ten 
"
57a7ce1f-16b9-4060-a012-91e74b57abc7, We had that!," he had nine 
"
edc6f3e9-02ac-4559-a224-596d5a3a5cae, I want to.," one two 
"
2ed7e799-e015-4652-bdb1-96b6ecb9c33a, Don't work.," two more 
"
b80bf8b7-561c-4407-984c-c4da699ef370, Pick up the cards.," pick up the cards 
"
18d762aa-0528-4404-a79b-2345301f2891, YoungT compressor.," yeah they're all 
"
d22c0631-246e-45d6-8b3d-b143d716d6a6, I love you.," one 
"
14b411d3-a86e-4c5a-bd6c-e69012fdbde4, The lastlesaix is Barsi.," two sixes two six 
"
7876e32b-8a69-49ad-b99b-2419efd06ea1, One more.," one more 
"
0c787421-4028-4e37-9f16-e456684b6364, One Ace? Bullshit! Pick that up! Bullshit! Pick that up!," one ace bullshit pick that up bullshit pick that up 
"
d616f51b-82ca-4d4a-8b19-8ef7781b38e5, Two tenths.," two tens 
"
54559ea2-1b5d-40c7-8173-b8e83ee51f11," No, that's not what it says."," no that's not what 
"
57f36227-f786-476a-baf4-c1038bfef444, I don't feel say anything at this point.," i just don't say anything i just play 
"
eb15faf5-1491-4102-94f6-8483d3199bcb, So we gotta play that game for an hour.," so we gotta play that game for an hour 
"
7b5a93b7-2be3-4a31-aad7-efd49b3e5991, And as suppose I say five cards and I say five king. And there are four kings and one some other card. And so... It depends on me.," and uh i suppose i say uh five i keep five cards and i say five uh kings and there are four kings and one some other card and she calls 
"
1c27552c-e1dd-463c-9a06-83108ade20cc," You start many years, then you get to play again. You have to play again. You know, when you play, you have to play again."," you start then you get to play again cards 
"
93b1f62b-76d2-4495-8951-24cc1cf78085, Mm-hmm. Mm-hmm. I'm not calling that shit. You want to call that shit?," mm-hmm mhm i'm not calling that shit you want to call that shit 
"
c7785c29-a4f0-43ef-9316-282dda72d5e0, Damn!," damn 
"
f7ba43fc-0a8c-4d80-9628-128ce0cad969, And this is how I learned how to play BS.," this is how i leaned how to play bs 
"
1fb35834-f217-413d-996e-dd16fbb70025, and uh...," and um 
"
62b3c10b-3a34-4fb2-9dcb-60a40eae236e, uh," uh 
"
d46112a7-a866-42c2-a4e7-568dd24be634, Dun Dun!," one nine 
"
083c810a-2268-4ee2-9c83-ca9871b25f71, Hello. You're as a dealer? Yes. Welcome to our Dean's session today. We are playing BS.," hello welcome to yes welcome to our game session today we're playing bs right 
"
1a71ec06-8cd6-4e8e-b1aa-d1972a0c1dad," You can always, when it's bolted together too, use the belt sander and try and finish out the edges."," we can always when it's bolted together too use the belt sander and try and finish out the edges 
"
33c57960-0f43-49d1-97d3-0087df5c5569, That's what!," that's what 
"
9df8b1b9-1574-4100-88d1-c90110e9e225, Good pub for you expsiely!," hmm 
"
a6d4dbc4-969d-4819-af85-f3b3cb56195e, same thing," same thing you 
"
44fdf156-3017-4c9d-b9e7-cd67edfad2e4, And what you look at and what you see are different things. So it kind of like...," and what you look at and what you see are different things so it kind of like 
"
53c56595-0743-4715-9147-1a51386709e0," Once I got passed, I got un-challenged."," once i call pass i can't challenge 
"
b0a07916-71f1-438d-804e-be23830e9674, That means I'm too cold to check.," two jacks 
"
70d3443e-b82b-44e8-a7de-c7e4ddb33405, Mm-hmm. It's supposed to get doubles.," mhm and so you it supposes to like you're supposed to get doubles 
"
73286c5a-76d6-45d0-9a25-60a61279f074, one five.," one five 
"
91807a91-ddf9-46c5-ac47-6f46a32b0d3a, to make it interesting.," to make it interesting 
"
a18a8d74-e832-4e87-bcad-c9a5e351576c, One Jack.," one jack 
"
d5641850-82d5-41b2-b182-020f4c71ad61, There goes that.," there goes that 
"
cc813d1d-9967-4bfa-97c0-0ce4f554cc25, Damn she played me.," the hell she played me 
"
ff5049ac-d131-4609-a29a-1c7836d96859, I'm gonna call BS on everything.," now imma call bs on everything now 
"
c03794a9-6439-42d6-baa8-e2f5cbbc4084, I'm okay.," i don't care one king 
"
3d4b2a37-21cd-4473-bee8-91b575a7a0b3, Are they so angry?," ha joker 
"
dadd83ac-1332-484d-97c0-1ead6b2ae2f2," No, it's the person who comes with my bad."," no it's the person left 
"
776ffa84-49ba-4543-ba48-1746de4034d9, Alright.," huh 
"
66e1cd17-90ed-4e5b-a105-2079d68430ca, Two-four.," two fours 
"
aca05882-5408-40b3-be32-20068a8c7567," Alright, you got it, you got it."," alright you got it you got it 
"
4917fe6f-ae66-48a8-950b-42c7fbd3d15b, Alrighty.," oh a lot of bs in here i like that 
"
af83f581-707c-4ddc-ad12-831df9b3b84b, Dang it.," damn 
"
7b2f08c4-85c3-459b-be69-5403d6601ed8, like that which will help in other legs.," clues like that 
"
7952919a-e9ed-48ac-bbb0-cf2ce082f143, What time is it?," what time is it 
"
004c3712-bfa3-4d19-a60f-e2666b631d23, See you tomorrow.," two 
"
cf92a081-9f8f-451a-a84a-0f43077fb4ad, Pick up.," now six call you 
"
fa3afe5c-ef25-4c43-a8ff-3562fd80b7f1, waves?," card card 
"
2e668435-1e40-45d5-9270-8eb3e7e8df7b, And let's take them.," left 
"
9e6bb156-210b-43ad-960c-43368349d325, So five seconds," two 
"
9d337069-8c04-4a57-8564-e1bc9ce1eb02, for names.," four nines 
"
f13190ee-e9cc-4200-9b63-41a095253bc7, That's a bunch of bullshit. That's a lot of bullshit.," uh a bunch of bullshit that's all i'm gonna say 
"
2a10ba31-21da-4960-bf7e-2ed023ec239d," Come on, boy."," one more 
"
2553a355-7d00-4f93-b782-eb0978c4bcd6, Wquez les ko som DAM," one eight 
"
30ae9e76-a01e-4c8d-88e7-a3cb78621455, Two Tins.," two tens 
"
4465aa27-2742-4a98-9530-82a2f983da75, Three-fours.," three fours 
"
fa435853-f06d-4d42-a2a5-47a6ec80303f," Yeah, pick all this shit up."," y'all pick all that shit up 
"
9597ecb7-cc4f-4ef3-a129-09291196157d, Thank you.," i hate you 
"
c54ce018-7729-4a50-8aff-3e992277efe1, Right?," right 
"
e69cf0e7-e7bf-4a1b-b955-5b9351fcf0ae, You really should call it bullshit. I was too tired of just sorting on my own cards to say anything.," you really should've called bullshit i was too tired of just sorting all my own cards just to say anything 
"
b929e84e-eb43-4e21-ab2b-fa0ea65f6754, I will take and you take the speeds from him as well.," i will take and you take spades from him as well 
"
d4d3bb92-e596-42ab-80dc-1ab5f59624b4, I lost the phone.," it ruins the fun 
"
32a08236-5fca-4e82-b642-b602f660b4ea, I'm not excited for my next week at all.," i'm not excited for my next week at all 
"
8fd2cc9e-1537-4cf0-bd66-c0686f536a40," Yeah, we are."," yeah we are 
"
50938d74-e2dd-4fd1-9ff6-86a17e8368a5," One, two."," one king 
"
1e1dbf4c-560e-4d68-8ad1-eb18f003ce59, Bullshit.," bullshit 
"
3dcaae8a-1b9a-402e-85a1-ec5ccabe9948, You," yup 
"
11290867-d819-4ef3-bdd9-9a67ff9af3fa, Nice.," one ace 
"
49f03645-8e16-42d1-8b74-0c48ae1d59ba," Oh, my darling."," oh my god 
"
e3c05107-070f-4c86-bb8e-813ab98927da, I don't love it. I'm gonna clean this up.," i have gloves oh i gotta clean this up 
"
cccdbae8-a25c-42e7-a35e-4a65264127a8," Wonderful, right?"," wonderful right 
"
e52383f3-8fe7-42c7-b206-fa1593a13158, Bye!," nine 
"
bcea471e-c373-4332-a599-3feaec5c94d6, I just win this tournament. Three Couldys.," three eights 
"
ae0789ff-0dea-41da-a1c7-3ef9f4d57dc4," Let's go, kid."," this is going to 
"
787d4635-04a3-492a-b877-aa225d7b9303, Bye bye.," one nine 
"
3e1e6cd6-cff6-4167-a9db-e19554404783," I'm like, oh, three. Oh, yes. You can see the eyes in the bottom there. I'm like, oh, no, no, no, no, no, no, no, it's okay. It's okay. It's okay. It's okay. It's okay. It's okay. It's okay."," see the threes in one hand oh my god you are lying 
"
84e9bff6-ec3f-4921-82b1-53fa8614b87c, One two.," one ten 
"
c0713250-e5ff-4960-b793-3c81f9ee64af, Another four.," another four 
"
7322740a-6239-4724-b944-925d682332a8," Damn, sleepERS."," damn she played me 
"
75d30ad6-bb14-4f6c-8b66-b05fabbcb331," That's fine, you can go after two."," that's funny you know i could 
"
176c0766-12f9-46c2-a2c3-88b75b41ece5, I feel a smoothie but it just falls in.," so smooth we it just falls in 
"
2ff9461d-8229-4bdc-adac-9dc601ba239e, This is how I learned how to play BS.," this is how i learned how to play bs 
"
e746a987-9f67-4c16-9730-2ad3fc965f18, One Ace.," one ace 
"
caac6000-21a2-4090-a97d-2e019cef95fc, Hmm wisdom Nice Good one," nice good one 
"
644c0cdd-85bc-442e-a9bf-77143ce5a096," I forgot. Sorry, I didn't jump the gun."," i forgot i'm sorry i thought i jumped the gun 
"
422927ed-ff90-4369-a17c-a4477901938b, I don't have a three.," i don't have a three 
"
134921d2-0cd0-475f-9b99-72789f930d12," Yeah, I'm not that risky like that."," yeah i'm not i'm not that risky like that 
"
9586444b-07cc-42c7-b1d9-7beeeaaea59b, Anybody can challenge it's not just the left person.," or anybody can challenge it's not just the left person okay 
"
b5d43e40-c352-48d5-9a79-6dbf45515122," Yeah. I will count. I will count. Huh. My glove. Uh, speed, right? I'll take a gig, huh. I'll take a gig, huh."," count really count ha uh spade spade 
"
b814fc06-2e99-4395-a999-2f08b60579b0," Shit, I see you one two and I'll call it one three"," well shit i'll i'll see your one two and i'll call it one three 
"
73d30211-f114-4a3b-b70a-ef6feeb2e58c, it's only here well... what jack," oh my god one jack 
"
591897f7-e85a-4604-891e-b68b6a3df859, Let the one slide.," one point slide 
"
51220a3c-6f91-4426-b9e5-be6978a9244f, Not because she left and I'm right on do it.," nah cuz you're laughing i'm not gonna do it 
"
811dfe11-0a90-4622-a719-4c3ca9179d15, terror.," uh spade spade 
"
92c401ab-b5cf-4d40-a12e-a6abac3a6599," You know, our inspection put the door down so it can fast."," no i didn't expect put down so fucking fast 
"
e4c8bd19-5063-4595-9ff9-e5bc0275de7b, I wanted to call all those comparing. Yeah I wanted to call them all the hashish. How about these?," i hate you i want to fucking hate you hate you 
"
933102aa-7dab-4ec6-b541-7144c3a8b62e, your favourite might be coming anytime soon.," okay david might be coming any time soon 
"
489a220e-efc7-42fa-a806-bbeee3a57573, Run!," one 
"
f17d2373-99b9-4f8e-859e-d51b523fb2ba, On more.," one more 
"
1d22ffa5-f5bb-4f58-a466-b5ea864af573, Yeah.," uh-huh 
"
c4743fee-28f8-4c87-916d-45ab149e0052, I have a big bush.," why not big bush 
"
fde99864-cbee-43bd-a33e-8af63c53344c, to the deck next Mexico.," mix mix mix 
"
289d65be-1621-4215-a4a8-9b0d084c6161, That's what I've been doing here.," that's what i been doing 
"
77d3f5c6-45b1-45b6-8abc-f320fa0b5fc8, Oh! Watch it!," oh bullshit 
"
173a47ad-d3c3-49c8-bcbb-470d8ba5f080,Highkey PB," four twos 
"
1eaf5628-ac52-4675-851b-4d54ffa6eb76, Chemit!," damn it 
"
94b8ecf8-4e10-4b87-aabf-04e53b958479," Aww. Thank you. All of you, Fest shaping theme for relaxation joining Cezaphy.com."," ha 
"
fca1f021-4883-4ec9-942c-a2281a85b0dc," This has been in there forever, and it's getting..."," this has been in there forever and it's getting 
"
62efa332-6c6a-4f41-9a68-15a033200930, because he or she drives the net.," because he or she drives the 
"
d76d44d7-01d0-46d6-81df-0f1a4848ae17, Mmm.," hm 
"
b736b1fb-71d1-4296-b183-88c8ae8d2d88, Oh!," oh 
"
7d33254a-876f-4bdf-8406-7ccf4432893c," Call the bossa, I near you!"," call that bullshit i dare you oh 
"
fbcad142-57e3-452e-b7d9-298076169fab," If I don't challenge you, then you're safe."," if i don't challenge you then you are safe 
"
7bb90b92-0f21-458f-852d-94358bfa241e, I can't tell if someone got one. People go to hell.," people go to hell 
"
5f3512a8-6c37-4421-8533-d5903efc0dee, the," oh fuck there's a lady walking too oh my 
"
e962562c-947f-432e-9fc8-28d8e87b96f4, It's okay. I think I'm gonna try it the way you used to.," it's okay i think i'm going to try the way i used to 
"
3aaa1506-4497-48f4-b21f-9d52ef166758, Huh?," huh 
"
bc746c80-b6e2-4c5e-867f-8a075a180674, Four and four.," one four 
"
52d6be7c-fcf5-4cd6-a901-5cae93713a3c," No, he said he wants us to play this game."," no he said he wants us to play this game 
"
185597d2-5c23-42c5-84d0-1375da010774, Yep.," yep 
"
e8cb055e-584b-4aeb-be54-c79977965c2e, Thanks.," kings 
"
0c672bc1-1052-4320-a513-c6e0b7f492a2," I don't see all our cards in your cards, right?"," you wanna see all our cards and your cards right 
"
6f1444a0-95f0-4bce-990d-3b16df19d5fd, Oh yeah.," oh yeah 
"
9cfab70a-0c58-428f-9b59-ea3614fd4123, Mm.," hm 
"
dbf11a67-9ffb-4e3e-89ea-5bf63512a251," Take a long day out too, shut up."," take my damn two shup up 
"
eaca2e74-3721-43b4-8ce6-af58efb0d08f," But the thing is, she needs to know when she is bluffing because she will have to bluff."," but the thing is she need to know when she's bluffing cuz she will have to bluff she 
"
a866506b-10da-4c4e-9cdc-a01dd3edb86d, Tell me.," how many 
"
23612dd3-45d1-415f-acfb-5b796e67633b, polling is a local right now so yousecondary meds as you can see this is," one seven 
"
cac7d3b1-aa6e-40ad-ad5b-bff527ff1b1f, I want to Sounds Park clock-!!," one queen 
"
87d4a885-b558-45db-9d6b-bb41e73853f1, Okay.," okay 
"
dc8bf09f-165a-48a4-9f68-30eb243f4906, Haha.," hm 
"
ca5b9175-03f3-44cb-a151-c91d9b248fc0, You said too fast.," you said two fives 
"
6ce3a706-7ce5-4e33-a281-a0347a72b9b7, hahahaha," yes 
"
1fad9ae8-5ed7-41a1-bdd6-a8dec3af91a8, How many with them?," how many what 
"
ee2d5d54-8fc2-4d9c-a661-d5e798d49ae4," Oh, so it wasn't really my turn."," oh so it wasn't really my turn 
"
fe427d67-9d2a-4e48-a5a5-be1af3fb5d45," I'm pretty mad for now, I'm gonna do it. I'm just thinking of how many cards I would have."," i'm just thinking of how many cards i would have 
"
bacc7596-655f-4454-b49d-74485b40ea8d, Right?," right 
"
281f630c-7491-4339-840f-26d8fbff2350," My heart is a true result, you don't have to wait."," my cards are from you so you know don't wait in 
"
ae468721-55a7-4b6e-92b6-ff521efe0b76, Okay.," okay 
"
49155d4f-12bf-4984-8f60-a09eb8075d90, Good one.," good one 
"
758622be-9f91-407d-af5a-63f59e4ad9af," The instructions are right there, the yellow sheet."," the instructions are right there the yellow sheet 
"
fdbf79bf-628b-4cfa-ac26-7687780e94ae, What you just- what you just- what you just say?," what you just what you say what you just say 
"
ea942737-52b3-4912-8152-a589e4951b5f," Well, that's why I want to switch to my way too."," now that's why i want to switch to my way too 
"
eed9fd1e-e0b2-444f-a440-b3bd32241fe4, channel.," challenge 
"
