uid,whisper_transcripts,gt_transcripts
4278_187018_000020_000001," Hot as he was, Chris felt himself go cold at the sound.","hot as he was, chris felt himself go cold at the sound.
"
1535_141642_000013_000002, He was nowhere to be found.,"he was nowhere to be found.
"
5984_56840_000018_000000," He has been for some time passed greatly attached to one Miss Franklin, a pleasing lively girl with a large fortune.","""he has been for some time past greatly attached to one miss franklin, a pleasing lively girl, with a large fortune.""
"
369_125883_000053_000000," Oh, how! Where is the owner of the hut?"" cried Pinocchio, very much surprised.","""oh-ho, where is the owner of the hut?"" cried pinocchio, very much surprised.
"
1052_139308_000067_000005," He clung to his anger, because he was afraid of fear.","he clung to his anger-because he was afraid of fear.
"
1638_84448_000007_000000," Really. For a man who had been out of practice for so many years, it was a splendid laugh, a most illustrious laugh. The father of a long, long line of brilliant laughs.","really, for a man who had been out of practice for so many years, it was a splendid laugh, a most illustrious laugh. the father of a long, long line of brilliant laughs!
"
14_212_000052_000005," And to marry for money, I think the wickedest thing in existence.","and to marry for money i think the wickedest thing in existence.
"
6160_44912_000040_000000," But he wants me to read them, Siderman Guard.","""but he wants me to read them,"" said ermengarde.
"
3733_140718_000024_000001," God forgive me, but I had a sad lie at my tongue's end. Said I, though Mr. Jukes is sometimes a little hard upon me, yet I know not where I am without her. I go up, and I come down to walk about in the garden, and, not having her, no scarcely what to do with myself.","god forgive me, (but i had a sad lie at my tongue's end,) said i; though mrs jewkes is sometimes a little hard upon me, yet i know not where i am without her: i go up, and i come down to walk about in the garden; and, not having her, know scarcely what to do with myself.
"
7833_102239_000017_000001," It provided for the issue of bonds for the payment of the interest due by the state, and for the appropriation of a special portion of state taxes to meet the obligations thus incurred.","it provided for the issue of bonds for the payment of the interest due by the state, and for the appropriation of a special portion of state taxes to meet the obligations thus incurred.
"
7538_100043_000047_000001," Have you heard from home today, Tom?","have you heard from home to day, tom?""
"
4800_38660_000008_000001, Of course you asked her for the prescription I said.,"""of course you asked her for the prescription?"" i said.
"
8113_301694_000008_000001, There is no voice of the council.,"there is no voice of the council.
"
4356_6506_000063_000004," I have tried to save him for Miss Calhoun's sake, but her hand was pointing to the door.","i have tried to save him for miss calhoun's sake-"" but her hand was pointing to the door.
"
4145_34497_000039_000003," She had nothing left her but his love, and she wanted to love him.","she had nothing left her but his love, and she wanted to love him.
"
7910_105673_000004_000002," He published, in the king's name, without the consent either of Parliament or Convocation, an ordinance by which he retrenched many of the ancient holy days, prohibited several superstitions gainful to the clergy, such as pilgrimages, images, relics, and even ordered the incumbents in the parishes to set apart a considerable portion of their revenue for repairs, and for the support of a █████ and the poor of a parish.","he published, in the king's name, without the consent either of parliament or convocation, an ordinance by which he retrenched many of the ancient holy days; prohibited several superstitions gainful to the clergy, such as pilgrimages, images, relics; and even ordered the incumbents in the parishes to set apart a considerable portion of their revenue for repairs and for the support of exhibitioners and the poor of their parish.
"
1271_133279_000011_000008," The characteristics of the French journalist consist in a violent, but frequently an eloquent and lofty manner of discussing the politics of the day, and the exceptions to this habitual practice are only occasional.","the characteristics of the french journalist consist in a violent, but frequently an eloquent and lofty, manner of discussing the politics of the day; and the exceptions to this habitual practice are only occasional.
"
8329_279775_000011_000000," The king, who was a great lover of money, replied eagerly, Certainly, madam, I'll marry you tomorrow, if you will.","the king, who was a great lover of money, replied eagerly, ""certainly, madam, i'll marry you to morrow if you will.""
"
1392_140654_000003_000002," He who has given up both victory and defeat. He, the contented, is happy.","he who has given up both victory and defeat, he, the contented, is happy.
"
2785_163322_000055_000000, Alice laughed.,"alice laughed.
"
2512_157242_000135_000000," The curate still pale and trembling, searched the house, which, of course, was blamelessly free of burglars.","the curate, still pale and trembling, searched the house, which, of course, was blamelessly free of burglars.
"
7481_101276_000055_000000," I had one. He was called Jim and would have been a tall sturdy lad of twenty by this time, and able to help me well.","'i had one: he was called jem, and would have been a tall sturdy lad of twenty by this time, and able to help me well.
"
1079_128632_000059_000000, Stuff a cleaned trout through the mouth with butter mixed with finely chopped sweet herbs.,"stuff a cleaned trout through the mouth with butter mixed with finely chopped sweet herbs.
"
7705_101579_000038_000003," But no, it'd be awful if Jack had to cook his own grub for a week.","but no-it'd be awful if jack had to cook his own grub for a week.
"
1289_288044_000031_000001, The Catholics and the other sects do not believe that Anderson is a descendant of Jesus.,"the catholics and the other sects do not believe that anderson is a descendant of jesus.
"
7245_104890_000096_000000," Be its mattress straight. Be its pillow round. Let no sunrise yellow noise, interrupt this ground.","be its mattress straight, be its pillow round; let no sunrise' yellow noise interrupt this ground.
"
6788_111574_000019_000003," Only a very few out of each million become grown-ups. The rest are eaten by enemies, or smothered in mud or sand.","only a very few out of each million become ""grown ups""--the rest are eaten by enemies, or smothered in mud or sand.
"
7705_101580_000007_000000," Go easy, he admonished.","""go easy,"" he admonished.
"
7134_67233_000008_000002," It is best kept in bins in a granary, well trodden down.","it is best kept in bins in a granary, well trodden down.
"
5622_44586_000040_000001, The vigorous exercise forced him to take deep breaths and develop lung power.,"the vigorous exercise forced him to take deep breaths, and developed lung power.
"
5717_94876_000060_000000," With this he slammed down the lid of the chest, and the noise made them all wink.","with this he slammed down the lid of the chest, and the noise made them all wink.
"
3781_156981_000037_000003," Hence, throughout their troubled career, the Hebrews have been conscious of the presence of God and have found in Him their defender and personal friend, as has no other people in human history.","hence, throughout their troubled career the hebrews have been conscious of the presence of god and have found in him their defender and personal friend as has no other people in human history.
"
7540_101262_000007_000007," Then she changed herself back into a P-hen, and the whole nine flew away.","then she changed herself back into a pea hen, and the whole nine flew away.
"
2053_138901_000037_000004, is she going to fling a man over because of that?,"is she going to fling a man over because of that?""
"
3728_105398_000048_000000," Just come by runner, my lady.","""just come by runner, my lady.""
"
3540_163612_000035_000001," Next, you will see a baking woman leaning over her heated oven.","next, you will see a baking woman leaning over her heated oven.
"
2004_147967_000029_000005," They were stabled there now, with the dead man, because there was no other place to keep them.","they were stabled there now, with the dead man, because there was no other place to keep them.
"
5319_84357_000005_000005," Having performed his duties, the doctor was persuaded to take an oath on a crucifix, never to speak of what he had seen, heard, or thought on that night, unless it should be in the service of his king, King Charles. He was also desired to leave Tuscany that night, and then conducted from the dwelling in the same needlessly mysterious manner as had been taken to it.","having performed his duties, the doctor was persuaded to take an oath on a crucifix, ""never to speak of what he had seen, heard, or thought on that night, unless it should be in the service of his king-king charles;"" he was, also, desired to leave tuscany that night, and then conducted from the dwelling in the same needlessly mysterious manner as he had been taken to it.
"
8118_114469_000016_000001, Dick heard Warner on his right and he followed the sound of his voice.,"dick heard warner on his right, and he followed the sound of his voice.
"
7481_101276_000104_000000," The first cooked took a golden spoon, washed and wiped it, and handed it to the head cook, who solemnly approached, tasted the dishes, and smacked his lips over them.","the first cook took a golden spoon, washed and wiped it, and handed it to the head cook, who solemnly approached, tasted the dishes, and smacked his lips over them.
"
1283_129808_000016_000000, God give me patience.,"""god give me patience!
"
3922_723_000021_000001," He came in timidly, approached with little steps, looking very disheveled and depressed.","he came in timidly, approached with little steps, looking very disheveled and depressed.
"
8498_287358_000014_000000, Do you think he means you harm?,"""do you think he means you harm?""
"
4243_187024_000023_000006, You want that?,"you've got that?""
"
101_126860_000018_000001," Well, I will do what I can for you.","""well, i will do what i can for you.
"
2229_152864_000026_000000," But the truth was, I forgot the children, infatuate with the horse.","but the truth was, i forgot the children, infatuate with the horse.
"
781_126737_000066_000000, Here you are.,"""here you are!""
"
7867_275218_000014_000001," They were like the Gar Pike in our western rivers, only much larger, as big as a stovepipe, and with a crust as hard as a turtle's shell. Then there came sharks of strange forms, savage and ferocious, with teeth like bowie knives.","they were like the gar pike in our western rivers, only much larger,--as big as a stove pipe,--and with a crust as hard as a turtle's shell. then there came sharks, of strange forms, savage and ferocious, with teeth like bowie knives.
"
6499_87508_000033_000001," Charity receives fraternally all guests and newcomers, and makes us treat them as we would wish to be treated under similar circumstances. It also causes us to lavish testimonies of affection on those who are setting out, and warns us to be very careful of saying or doing anything that may in the least agree, offend even the most susceptible.","charity receives fraternally all guests and new comers, and makes us treat them as we would wish to be treated under similar circumstances. it also causes us to lavish testimonies of affection on those who are setting out, and warns us to be very careful of saying or doing anything that may in the least degree offend even the most susceptible.
"
3546_175390_000034_000001," Why I'm not doing any hinting, Virgil.","""why, i'm not doing any hinting, virgil.""
"
340_124368_000046_000001," Still, when you speak of us Republicans, you do so only to denounce us as reptiles, or, at the best, as no better than outlaws.","still, when you speak of us republicans, you do so only to denounce us as reptiles, or, at the best, as no better than outlaws.
"
3703_73732_000010_000000, poor Ferdinand Armouini. It was the first time he had experienced the maddening pangs of jealousy.,"poor ferdinand armine! it was the first time he had experienced the maddening pangs of jealousy.
"
2156_82458_000038_000000," Now Billy the Kid hobbled back to the armory and buckled around his waist, two belts of cartridges and two colts pistols.","now ""billy the kid"" hobbled back to the armory and buckled around his waist two belts of cartridges and two colt's pistols.
"
1050_134119_000031_000007, He sat himself down to do it.,"he sat himself down to do it.
"
6510_62516_000086_000000," This time the hunters, instead of following the course of the river, plunge straight into the heart of the forest.","this time, the hunters, instead of following the course of the river, plunged straight into the heart of the forest.
"
5655_46267_000026_000003, I've taught it and fed it and looked to it for company when I hadn't nobody in the world to care for me.,"i've taught it, and fed it, and looked to it for company when i hadn't nobody in the world to care for me.
"
369_125883_000004_000001, Who knows?,"who knows?
"
1649_5776_000014_000000, A glow of conscious valor flushed the cheek of the veteran.,"a glow of conscious valor flushed the cheek of the veteran.
"
3114_170977_000073_000000, far better.,"far better.
"
274_121382_000015_000001," You, sir, know how necessary subordination is in any large establishment of servants.","you, sir, know how necessary subordination is in any large establishment of servants.""
"
93_124558_000032_000000, nine,"nine.
"
